GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
letta,es.uvigo.esei.lettaG4.dao,UsersOnEventsDAO,199,0,28,0,23,0,18,0,4,0
letta,es.uvigo.esei.lettaG4.dao,UsersDAO,775,5,124,0,82,1,69,1,7,1
letta,es.uvigo.esei.lettaG4.dao,DAO,29,5,0,0,8,2,2,1,2,1
letta,es.uvigo.esei.lettaG4.dao,DAOException,20,3,0,0,8,2,4,1,4,1
letta,es.uvigo.esei.lettaG4.dao,EventsDAO,1035,5,152,0,111,1,85,1,9,1
letta,es.uvigo.esei.lettaG4,LettaG4Application,0,23,0,0,0,5,0,3,0,3
letta,es.uvigo.esei.lettaG4.entities,Event,24,238,5,19,10,65,8,30,3,23
letta,es.uvigo.esei.lettaG4.entities,Relationship,8,15,0,0,4,6,2,3,2,3
letta,es.uvigo.esei.lettaG4.entities,User,30,96,7,11,11,27,9,11,2,9
letta,es.uvigo.esei.lettaG4.rest,UsersResource,59,149,0,0,12,35,1,7,1,7
letta,es.uvigo.esei.lettaG4.rest,EventsResource,108,176,1,3,20,40,2,8,1,7
